postcode,suburb,state,latitude,longitude,dist
2906,Banks,ACT,-35.4608,149.0957,16.58
2906,Conder,ACT,-35.4608,149.0957,16.58
2911,Mitchell,ACT,-35.2187,149.1365,10.97
2912,Gungahlin,ACT,-35.1728,149.1402,16.05
2913,Palmerston,ACT,-35.1922,149.112,14.2
2913,Ginninderra Village,ACT,-35.1922,149.112,14.2
2913,Ngunnawal,ACT,-35.1922,149.112,14.2
2913,Nicholls,ACT,-35.1922,149.112,14.2
2914,Amaroo,ACT,-35.1739,149.1272,16
1300,Darlinghurst,NSW,-33.8667,151.225,1.99
1335,Potts Point,NSW,-33.8667,151.225,1.99
1340,Kings Cross,NSW,-33.8667,151.225,1.99
1350,Woollahra,NSW,-33.8667,151.225,1.99
1355,Bondi Junction,NSW,-33.8667,151.225,1.99
1360,Double Bay,NSW,-33.8667,151.225,1.99
1363,Moore Park,NSW,-33.8667,151.225,1.99
1435,Alexandria,NSW,-33.9604,151.1554,10.81
1445,Rosebery,NSW,-33.9167,151.2,4.98
1450,Camperdown,NSW,-33.9667,151.2,10.53
1455,Botany,NSW,-33.9667,151.2,10.53
1460,Mascot,NSW,-33.9333,151.2,6.82
1465,Kensington,NSW,-33.9167,151.2167,5.09
1466,Unsw Sydney,NSW,-33.925,151.2083,5.89
1470,Drummoyne,NSW,-33.8536,151.1542,5.07
1475,Marrickville,NSW,-33.9167,151.1667,6.06
1480,Kingsgrove,NSW,-33.9833,151.1167,14.78
1481,Hurstville Bc,NSW,-33.9833,151.1167,14.78
1485,Kogarah,NSW,-33.9833,151.1167,14.78
1490,Miranda,NSW,-34.0333,151.1,20.35
1495,Caringbah,NSW,-34.05,151.1333,20.84
1499,Sutherland,NSW,-34.0333,151.0667,21.97
1515,West Chatswood,NSW,-33.8205,151.1839,6.04
1560,Northbridge,NSW,-33.8205,151.1839,6.04
1565,Milsons Point,NSW,-33.8205,151.1839,6.04
1570,Artarmon,NSW,-33.8167,151.1833,6.46
1585,Crows Nest,NSW,-33.8281,151.2017,4.9
1590,St Leonards,NSW,-33.8167,151.1667,7.08
1595,Lane Cove,NSW,-33.8167,151.1667,7.08
1630,Hornsby,NSW,-33.7,151.1,21.43
1635,Hornsby Westfield,NSW,-33.7,151.1,21.43
1639,Frenchs Forest,NSW,-33.7,151.1,21.43
1640,Frenchs Forest,NSW,-33.7633,151.1833,12.25
1655,Manly,NSW,-33.8,151.2833,10.83
1660,Mona Vale,NSW,-33.6667,151.3,24.49
1670,North Ryde Bc,NSW,-33.8333,151.1333,7.86
1675,Gladesville,NSW,-33.8333,151.1333,7.86
1680,Ryde,NSW,-33.8167,151.1,11.44
1685,West Ryde,NSW,-33.8167,151.1,11.44
1700,Ermington,NSW,-33.7567,151.0167,21.57
1701,Rydalmere Bc,NSW,-33.7567,151.0167,21.57
1710,Epping,NSW,-33.7833,151.0833,14.92
1715,Pennant Hills,NSW,-33.7333,151.0667,20
1730,Seven Hills,NSW,-33.7833,150.9333,26.92
1750,North Parramatta,NSW,-33.75,151,23.26
1755,Baulkham Hills,NSW,-33.75,151,23.26
1765,Castle Hill,NSW,-33.7333,151,24.39
1790,St Marys,NSW,-33.7567,151.0167,21.57
1800,Ashfield,NSW,-33.8833,151.1167,8.19
1805,Burwood,NSW,-33.8833,151.1,9.72
1811,Silverwater,NSW,-33.8958,151.0083,18.29
1825,Lidcombe,NSW,-33.8667,151.0333,15.81
1835,Auburn,NSW,-33.85,151.0333,15.99
1851,Wetherill Park Dc,NSW,-33.8958,151.0083,18.29
1860,Fairfield,NSW,-33.8667,150.95,23.5
1871,Liverpool,NSW,-33.9,150.9333,25.22
1875,Moorebank,NSW,-33.9,150.9333,25.22
1885,Bankstown,NSW,-33.9167,151.0333,16.55
1890,Ingleburn,NSW,-34,150.8667,34.25
1891,Milperra,NSW,-34,150.8667,34.25
2000,Sydney South,NSW,-33.8666,151.2082,0.71
2000,Sydney,NSW,-33.8721,151.2044,0
2000,Millers Point,NSW,-33.8666,151.2082,0.71
2000,Haymarket,NSW,-33.8808,151.2028,0.98
2000,The Rocks,NSW,-33.8666,151.2082,0.71
2000,Dawes Point,NSW,-33.8666,151.2082,0.71
2001,Sydney,NSW,-33.8833,151.2167,1.69
2004,Eastern Suburbs Mc,NSW,-33.8787,151.206,0.75
2006,The University Of Sydney,NSW,-33.8876,151.1869,2.36
2007,Ultimo,NSW,-33.8786,151.1969,1
2007,Broadway,NSW,-33.8801,151.198,1.07
2008,Darlington,NSW,-33.8885,151.1977,1.93
2008,Chippendale,NSW,-33.8885,151.1977,1.93
2009,Pyrmont,NSW,-33.8694,151.1939,1.01
2010,Darlinghurst,NSW,-33.8821,151.2151,1.49
2010,Surry Hills,NSW,-33.8861,151.2144,1.81
2011,Woolloomooloo,NSW,-33.8702,151.222,1.64
2011,Potts Point,NSW,-33.8808,151.2167,1.49
2011,Kings Cross,NSW,-33.8702,151.222,1.64
2011,Rushcutters Bay,NSW,-33.8702,151.222,1.64
2011,Elizabeth Bay,NSW,-33.8702,151.222,1.64
2012,Strawberry Hills,NSW,-33.9032,150.9677,22.12
2015,Eveleigh,NSW,-33.8971,151.1911,3.04
2015,Beaconsfield,NSW,-33.9105,151.1923,4.41
2015,Alexandria,NSW,-33.9105,151.1923,4.41
2016,Redfern,NSW,-33.8931,151.2064,2.34
2017,Waterloo,NSW,-33.9031,151.2078,3.46
2017,Zetland,NSW,-33.9031,151.2078,3.46
2018,Rosebery,NSW,-33.9167,151.2,4.98
2018,Eastlakes,NSW,-33.9216,151.2064,5.51
2019,Botany,NSW,-33.9448,151.1965,8.12
2019,Banksmeadow,NSW,-33.95,151.2167,8.74
2020,Sydney Domestic Airport,NSW,-33.939,151.1862,7.63
2020,Mascot,NSW,-33.9303,151.1874,6.66
2020,Sydney International Airport,NSW,-33.939,151.1862,7.63
2021,Paddington,NSW,-33.8853,151.23,2.78
2021,Centennial Park,NSW,-33.8904,151.225,2.79
2022,Queens Park,NSW,-33.8939,151.2498,4.84
2022,Bondi Junction,NSW,-33.8939,151.2498,4.84
2023,Bellevue Hill,NSW,-33.8794,151.2506,4.34
2024,Waverley,NSW,-33.9,151.2667,6.53
2024,Bronte,NSW,-33.9,151.2667,6.53
2025,Woollahra,NSW,-33.8868,151.2437,3.98
2026,Bondi,NSW,-33.8917,151.2667,6.15
2026,Bondi Beach,NSW,-33.8893,151.2725,6.57
2026,Tamarama,NSW,-33.8893,151.2725,6.57
2026,Ben Buckler,NSW,-33.8893,151.2725,6.57
2027,Darling Point,NSW,-33.8708,151.2389,3.19
2027,Edgecliff,NSW,-33.8728,151.2407,3.35
2027,Point Piper,NSW,-33.8667,151.25,4.25
2028,Double Bay,NSW,-33.8772,151.2457,3.85
2029,Rose Bay,NSW,-33.8747,151.2633,5.45
2030,Rose Bay North,NSW,-33.8572,151.2784,7.03
2030,Vaucluse,NSW,-33.8667,151.2833,7.31
2030,Watsons Bay,NSW,-33.85,151.2833,7.69
2030,Dover Heights,NSW,-33.8708,151.2792,6.91
2031,Clovelly West,NSW,-33.9111,151.2416,5.53
2031,Clovelly,NSW,-33.9125,151.25,6.16
2031,St Pauls,NSW,-33.9111,151.2416,5.53
2031,Randwick,NSW,-33.9167,151.2417,6.04
2032,Kingsford,NSW,-33.9264,151.2298,6.48
2032,Daceyville,NSW,-33.9333,151.2333,7.31
2033,Kensington,NSW,-33.9167,151.2167,5.09
2034,Coogee,NSW,-33.9167,151.2667,7.59
2035,Pagewood,NSW,-33.9401,151.2284,7.88
2035,Maroubra,NSW,-33.95,151.2333,9.06
2036,Chifley,NSW,-33.9715,151.2393,11.51
2036,Eastgardens,NSW,-33.946,151.2233,8.4
2036,La Perouse,NSW,-33.9833,151.2333,12.65
2036,Hillsdale,NSW,-33.9527,151.2313,9.3
2036,Malabar,NSW,-33.9667,151.25,11.33
2036,Matraville,NSW,-33.95,151.2333,9.06
2036,Little Bay,NSW,-33.9833,151.2333,12.65
2036,Phillip Bay,NSW,-33.9833,151.2333,12.65
2036,Port Botany,NSW,-33.9667,151.2167,10.58
2037,Glebe,NSW,-33.8794,151.1864,1.85
2038,Annandale,NSW,-33.8833,151.1667,3.7
2039,Rozelle,NSW,-33.865,151.1728,3.02
2040,Leichhardt,NSW,-33.8833,151.15,5.17
2040,Lilyfield,NSW,-33.8761,151.1656,3.61
2041,Birchgrove,NSW,-33.8564,151.182,2.71
2041,Balmain,NSW,-33.8667,151.1833,2.04
2042,Newtown,NSW,-33.8988,151.1781,3.84
2042,Enmore,NSW,-33.8988,151.1781,3.84
2043,Erskineville,NSW,-33.9005,151.1878,3.51
2044,Tempe,NSW,-33.9333,151.15,8.46
2044,St Peters,NSW,-33.9209,151.1685,6.36
2044,Sydenham,NSW,-33.9209,151.1685,6.36
2045,Haberfield,NSW,-33.8779,151.14,5.98
2046,Canada Bay,NSW,-33.8632,151.1164,8.18
2046,Russell Lea,NSW,-33.8609,151.1322,6.78
2046,Abbotsford,NSW,-33.85,151.1333,7.01
2046,Five Dock,NSW,-33.8609,151.1322,6.78
2046,Wareemba,NSW,-33.8609,151.1322,6.78
2046,Chiswick,NSW,-33.8609,151.1322,6.78
2046,Rodd Point,NSW,-33.8609,151.1322,6.78
2047,Drummoyne,NSW,-33.8536,151.1542,5.07
2048,Westgate,NSW,-33.8931,151.1662,4.23
2048,Stanmore,NSW,-33.9,151.1833,3.66
2049,Lewisham,NSW,-33.8951,151.1525,5.43
2049,Petersham,NSW,-33.8951,151.1525,5.43
